"Subject area",Topic,"Document count","Reason highlighted"
Health,"Bus rapid transit",3,"seen more often than expected in this context"
Health,Gentrification,3,"seen more often than expected in this context"
Health,"Population decline",3,"seen more often than expected in this context"
Health,Eurostat,3,"seen more often than expected in this context"
Health,"Extreme weather",4,"seen more often than expected in this context"
Health,"Programa Saúde da Família",3,"seen more often than expected in this context"
Health,"Normal distribution",4,"seen more often than expected in this context"
Health,"Matrix (mathematics)",3,"seen more often than expected in this context"
Health,Color,3,"seen more often than expected in this context"
Health,"São Paulo",3,"seen more often than expected in this context"
Health,"Dependency ratio",3,"seen more often than expected in this context"
Health,Taxicab,3,"seen more often than expected in this context"
Health,"Universal design",4,"seen more often than expected in this context"
Health,"Unpaid work",3,"seen more often than expected in this context"
Health,Walkability,3,"seen more often than expected in this context"
Health,"Traffic congestion",3,"seen more often than expected in this context"
Health,"Total fertility rate",4,"seen more often than expected in this context"
Health,"Heat wave",4,"seen more often than expected in this context"
Health,"Electric vehicle",3,"seen more often than expected in this context"
Health,Pará,4,"seen more often than expected in this context"
Health,Utility,3,"seen more often than expected in this context"
Health,"Logistic regression",3,"seen more often than expected in this context"
Health,"Quality-adjusted life year",3,"seen more often than expected in this context"
Health,"Linear regression",3,"seen more often than expected in this context"
Health,Theory,3,"seen more often than expected in this context"
Health,England,3,"seen more often than expected in this context"
Health,"Remote work",4,"seen more often than expected in this context"
Health,"Statistical significance",3,"seen more often than expected in this context"
Health,"Population ageing",3,"seen more often than expected in this context"
Health,Finland,4,"seen more often than expected in this context"
Health,Household,4,"seen more often than expected in this context"
Health,"Driver's license",3,"seen more often than expected in this context"
Health,"Correlation and dependence",3,"seen more often than expected in this context"
Health,"Dependent and independent variables",4,"seen more often than expected in this context"
Health,Israel,4,"seen more often than expected in this context"
Health,"Urban planning",4,"seen more often than expected in this context"
Health,"Gender pay gap",3,"seen more often than expected in this context"
Labour,"Universal design",3,"seen more often than expected in this context"
Politics,Budget,5,"seen more often than expected in this context"
Politics,Municipality,5,"seen more often than expected in this context"
Politics,"Health insurance",4,"seen more often than expected in this context"
Politics,Pará,4,"seen more often than expected in this context"
Politics,"Computer accessibility",3,"seen more often than expected in this context"
Politics,Human,3,"seen more often than expected in this context"
Politics,"Information and communications technology",3,"seen more often than expected in this context"
Politics,"Intensive care unit",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Multinomial logistic regression",9,"seen more often than expected in this context"
"Science And Technology > Mathematics",Utility,9,"seen more often than expected in this context"
"Science And Technology > Mathematics",Mathematics,7,"seen more often than expected in this context"
"Science And Technology > Mathematics","Ordinary least squares",7,"seen more often than expected in this context"
"Science And Technology > Mathematics",Space,7,"seen more often than expected in this context"
"Science And Technology > Mathematics","Fixed effects model",6,"seen more often than expected in this context"
"Science And Technology > Mathematics","Gini coefficient",6,"seen more often than expected in this context"
"Science And Technology > Mathematics",Justice,6,"seen more often than expected in this context"
"Science And Technology > Mathematics","Cluster analysis",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Matrix (mathematics)",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Measure (mathematics)",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Sampling (statistics)",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Subjective well-being",5,"seen more often than expected in this context"
"Science And Technology > Mathematics",Autocorrelation,4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Distance,4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Econometrics,4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Instrumental variables estimation",4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Life satisfaction",4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Mathematical optimization",4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Multicollinearity,4,"seen more often than expected in this context"
